Market,Selection,BidType,Odds,Stake,ProfitLoss
16 December  / Hoffenheim v Dortmund / Match Odds,The Draw,Lay,1.33,3,-0.99
16 December  / Alaves v Betis / Match Odds,Alaves,Lay,1.29,10,-2.9
16 December  / Norwich v Huddersfield / Match Odds,Huddersfield,Lay,1.53,2,-1.06
16 December  / Hoffenheim v Dortmund / Match Odds,Hoffenheim,Back,2.6,2,-2
16 December  / Angers v Nantes / Match Odds,Nantes,Lay,1.63,5,-3.15
16 December  / Norwich v Huddersfield / Match Odds,Huddersfield,Lay,1.78,5,-3.9
16 December  / Hoffenheim v Dortmund / Match Odds,Hoffenheim,Back,1.45,8.12,-8.12
16 December  / Hoffenheim v Dortmund / Match Odds,Hoffenheim,Lay,2.34,5,5
12 December  / Roma v AC Milan / Match Odds,Roma,Lay,1.27,4,-1.08
12 December  / Villarreal v Atletico Madrid / Match Odds,Villarreal,Lay,1.28,4,-1.12
12 December  / Villarreal v Atletico Madrid / Match Odds,Villarreal,Lay,2,6,-6
12 December  / Fiorentina v Sassuolo / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.37,2,-0.74
12 December  / Fiorentina v Sassuolo / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.2,5,-1
12 December  / Fiorentina v Sassuolo / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.78,9,7.02
11 December  / Benfica v Sporting Lisbon / Match Odds,Benfica,Lay,1.5,6,-3
11 December  / Schalke v Leverkusen / Match Odds,Leverkusen,Lay,1.05,0.24,-0.01
11 December  / Schalke v Leverkusen / Match Odds,Leverkusen,Lay,1.05,24.67,-1.24
11 December  / Schalke v Leverkusen / Match Odds,Leverkusen,Back,3,2,4
11 December  / Celta Vigo v Sevilla / Over/Under 2.5 Goals,Under 2.5 Goals,Back,1.32,16.58,-16.58
11 December  / Schalke v Leverkusen / Match Odds,Leverkusen,Back,1.68,12,8.16
11 December  / Man Utd v Tottenham / Match Odds,Man Utd,Lay,1.12,9,-1.08
11 December  / Atalanta v Udinese / Match Odds,Udinese,Lay,1.73,0.14,-0.1
